Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
5/20/13,26.18,26.19,25.69,25.759,42402900,0,1,26.18,26.19,25.69,25.759,42402900
5/17/13,26.4,26.6,26.2,26.25,29462700,0,1,26.4,26.6,26.2,26.25,29462700
5/16/13,26.48,26.55,25.9,26.13,35499100,0,1,26.48,26.55,25.9,26.13,35499100
5/15/13,26.92,26.99,26.4,26.6,30299800,0,1,26.92,26.99,26.4,26.6,30299800
5/14/13,26.8854,27.28,26.82,27.07,24930300,0,1,26.8854,27.28,26.82,27.07,24930300
5/13/13,26.6,27.325,26.531,26.82,29068800,0,1,26.6,27.325,26.531,26.82,29068800
5/10/13,27.14,27.3,26.57,26.68,30847100,0,1,27.14,27.3,26.57,26.68,30847100
5/9/13,27.08,27.55,26.85,27.04,33457200,0,1,27.08,27.55,26.85,27.04,33457200
5/8/13,26.88,27.3,26.65,27.12,34654900,0,1,26.88,27.3,26.65,27.12,34654900
5/7/13,27.55,27.85,26.85,26.889,41259100,0,1,27.55,27.85,26.85,26.889,41259100
5/6/13,28.33,28.46,27.48,27.57,43939400,0,1,28.33,28.46,27.48,27.57,43939400
5/3/13,29.04,29.07,28.15,28.311,58506400,0,1,29.04,29.07,28.15,28.311,58506400
5/2/13,28.0099,29.02,27.98,28.97,104257000,0,1,28.0099,29.02,27.98,28.97,104257000
5/1/13,27.85,27.915,27.31,27.43,64567600,0,1,27.85,27.915,27.31,27.43,64567600
4/30/13,27.13,27.85,27.005,27.769,36245700,0,1,27.13,27.85,27.005,27.769,36245700
4/29/13,27.16,27.41,26.86,26.98,29201100,0,1,27.16,27.41,26.86,26.98,29201100
4/26/13,26.6,27.62,26.6,26.85,33018000,0,1,26.6,27.62,26.6,26.85,33018000
4/25/13,26.07,26.4,26,26.14,17150000,0,1,26.07,26.4,26,26.14,17150000
4/24/13,25.93,26.4,25.8,26.11,19729900,0,1,25.93,26.4,25.8,26.11,19729900
4/23/13,26.215,26.33,25.77,25.98,25191500,0,1,26.215,26.33,25.77,25.98,25191500
4/22/13,25.81,26.36,25.7,25.97,25687600,0,1,25.81,26.36,25.7,25.97,25687600
4/19/13,25.62,25.96,25.33,25.73,20380900,0,1,25.62,25.96,25.33,25.73,20380900
4/18/13,26.82,26.82,25.15,25.69,39059000,0,1,26.82,26.82,25.15,25.69,39059000
4/17/13,26.65,27.2,26.39,26.625,26440600,0,1,26.65,27.2,26.39,26.625,26440600
4/16/13,26.81,27.11,26.4,26.92,27365900,0,1,26.81,27.11,26.4,26.92,27365900
4/15/13,27.16,27.48,26.36,26.52,30275400,0,1,27.16,27.48,26.36,26.52,30275400
4/12/13,28,28,27.24,27.4,28697400,0,1,28,28,27.24,27.4,28697400
4/11/13,27.48,28.1,27.25,28.0175,33368500,0,1,27.48,28.1,27.25,28.0175,33368500
4/10/13,27.0099,27.84,26.9,27.57,45949400,0,1,27.0099,27.84,26.9,27.57,45949400
4/9/13,26.58,26.89,26.42,26.59,21311100,0,1,26.58,26.89,26.42,26.59,21311100
4/8/13,27.19,27.2,26.63,26.849,27256000,0,1,27.19,27.2,26.63,26.849,27256000
4/5/13,26.86,27.8,26.61,27.39,64566600,0,1,26.86,27.8,26.61,27.39,64566600
4/4/13,26.62,27.2301,26.11,27.0725,82016800,0,1,26.62,27.2301,26.11,27.0725,82016800
4/3/13,25.83,26.39,25.7,26.25,48195200,0,1,25.83,26.39,25.7,26.25,48195200
4/2/13,25.77,26.12,25.3,25.42,35153300,0,1,25.77,26.12,25.3,25.42,35153300
4/1/13,25.63,25.89,25.28,25.53,22249300,0,1,25.63,25.89,25.28,25.53,22249300
3/28/13,26.09,26.17,25.52,25.58,28585700,0,1,26.09,26.17,25.52,25.58,28585700
3/27/13,25,26.28,24.72,26.09,52297400,0,1,25,26.28,24.72,26.09,52297400
3/26/13,25.08,25.48,25.03,25.205,26957200,0,1,25.08,25.48,25.03,25.205,26957200
3/25/13,25.75,25.8,25.078,25.131,39199000,0,1,25.75,25.8,25.078,25.131,39199000
3/22/13,25.796,26.01,25.63,25.73,18456300,0,1,25.796,26.01,25.63,25.73,18456300
3/21/13,25.66,26.11,25.56,25.74,24336100,0,1,25.66,26.11,25.56,25.74,24336100
3/20/13,26.68,26.69,25.78,25.86,44006500,0,1,26.68,26.69,25.78,25.86,44006500
3/19/13,26.53,26.9,26.21,26.55,25254200,0,1,26.53,26.9,26.21,26.55,25254200
3/18/13,26.37,26.79,25.78,26.49,26653700,0,1,26.37,26.79,25.78,26.49,26653700
3/15/13,27.03,27.06,26.56,26.645,31597400,0,1,27.03,27.06,26.56,26.645,31597400
3/14/13,27.1,27.43,26.83,27.04,27646400,0,1,27.1,27.43,26.83,27.04,27646400
3/13/13,27.62,27.65,26.92,27.08,39619500,0,1,27.62,27.65,26.92,27.08,39619500
